time,values
1172 ,1068
1173 ,1065
1174 ,1059
1175 ,1065
1176 ,1065
1177 ,1065
1178 ,1065
1179 ,1068
1180 ,1065
1181 ,1071
1182 ,1068
1183 ,1065
1184 ,1065
1185 ,1068
1186 ,1065
1187 ,1068
1188 ,1068
1189 ,1065
1190 ,1068
1191 ,1065
1192 ,1065
1193 ,1065
1194 ,1065
1195 ,1065
1196 ,1065
1197 ,1062
1198 ,1071
1199 ,1071
1200 ,1068
1201 ,1062
1202 ,1053
1203 ,1050
1204 ,1035
1205 ,1029
1206 ,1029
1207 ,1029
1208 ,1026
1209 ,1020
1210 ,1017
1211 ,1020
1212 ,1026
1213 ,1017
1214 ,1020
1215 ,1020
1216 ,1017
1217 ,1017
1218 ,1020
1219 ,1020
1220 ,1020
1221 ,1020
1222 ,1017
1223 ,1020
1224 ,1017
1225 ,1020
1226 ,1014
1227 ,1020
1228 ,1020
1229 ,1017
1230 ,1017
1231 ,1020
1232 ,1020
1233 ,1023
1234 ,1020
1235 ,1017
1236 ,1020
1237 ,1020
1238 ,1020
1239 ,1032
1240 ,1029
1241 ,1029
1242 ,1032
1243 ,1029
1244 ,1032
1245 ,1032
1246 ,1026
1247 ,1029
1248 ,1029
1249 ,1026
1250 ,1032
1251 ,1032
1252 ,1032
1253 ,1032
1254 ,1032
1255 ,1032
1256 ,1032
1257 ,1035
1258 ,1026
1259 ,1032
1260 ,1029
1261 ,1032
1262 ,1029
1263 ,1029
1264 ,1029
1265 ,1032
1266 ,1029
1267 ,1035
1268 ,1032
1269 ,1029
1270 ,1029
1271 ,1032
1272 ,1032
1273 ,1032
1274 ,1032
1275 ,1026
1276 ,1026
1277 ,1029
1278 ,1032
1279 ,1032
1280 ,1029
1281 ,1029
1282 ,1032
1283 ,1032
1284 ,1029
1285 ,1032
1286 ,1029
1287 ,1029
1288 ,1032
1289 ,1026
1290 ,1035
1291 ,1032
1292 ,1032
1293 ,1029
1294 ,1032
1295 ,1032
1296 ,1032
1297 ,1032
1298 ,1029
1299 ,1029
1300 ,1035
1301 ,1041
1302 ,1041
1303 ,1044
1304 ,1044
1305 ,1035
1306 ,1026
1307 ,1023
1308 ,1026
1309 ,1032
1310 ,1098
1311 ,1050
1312 ,1080
1313 ,1071
1314 ,1065
1315 ,1068
1316 ,1068
1317 ,1065
1318 ,1071
1319 ,1068
1320 ,1068
1321 ,1065
1322 ,1068
1323 ,1068
1324 ,1071
1325 ,1068
1326 ,1065
1327 ,1071
1328 ,1068
1329 ,1068
1330 ,1068
1331 ,1068
1332 ,1068
1333 ,1065
1334 ,1068
1335 ,1071
1336 ,1065
1337 ,1068
1338 ,1068
1339 ,1065
1340 ,1065
1341 ,1068
1342 ,1068
1343 ,1068
1344 ,1068
1345 ,1071
1346 ,1068
1347 ,1071
1348 ,1065
1349 ,1071
1350 ,1065
1351 ,1071
1352 ,1071
1353 ,1068
1354 ,1074
1355 ,1068
1356 ,1071
1357 ,1068
1358 ,1071
1359 ,1068
1360 ,1068
1361 ,1068
1362 ,1071
1363 ,1068
1364 ,1071
1365 ,1068
1366 ,1071
1367 ,1071
1368 ,1062
1369 ,1047
1370 ,1044
1371 ,1038
1372 ,1035
1373 ,1032
1374 ,1029
1375 ,1029
1376 ,1023
1377 ,1023
1378 ,1023
1379 ,1023
1380 ,1023
1381 ,1023
1382 ,1020
1383 ,1020
1384 ,1017
1385 ,1026
